day_of_week,nb_customers_on_day,open,promotion,school_holiday,state_holiday_0,state_holiday_a,state_holiday_b,state_holiday_c,year,month,day,week_of_year,sales
6,0,0,0,0,1,0,0,0,2015,3,1,9,0.0
6,0,0,0,0,1,0,0,0,2013,12,29,52,0.0
2,657,1,1,0,1,0,0,0,2014,3,19,12,6712.484280131378
1,862,1,0,0,1,0,0,0,2013,1,29,5,6611.0746038884845
2,591,1,1,0,1,0,0,0,2014,3,19,12,6098.616930458025
3,569,1,0,0,1,0,0,0,2014,6,26,26,5000.954488716542
0,321,1,1,0,1,0,0,0,2015,2,16,8,3849.5847546471987
5,1367,1,0,0,1,0,0,0,2014,11,22,47,9937.336834721023
3,0,0,1,0,0,1,0,0,2015,6,4,23,0.0
1,546,1,1,0,1,0,0,0,2015,1,13,3,6310.573663313728
3,968,1,0,1,1,0,0,0,2015,7,23,30,7583.597722630736
3,472,1,0,0,1,0,0,0,2013,9,19,38,4305.030929407468
6,0,0,0,0,1,0,0,0,2014,4,20,16,0.0
0,965,1,0,0,1,0,0,0,2013,12,9,50,8273.30058544456
1,804,1,0,1,1,0,0,0,2015,4,7,15,7057.024591964207
2,499,1,1,1,1,0,0,0,2013,10,9,41,5407.261704382856
0,1337,1,1,1,1,0,0,0,2013,8,12,33,12662.594491224654
2,560,1,0,0,1,0,0,0,2014,4,9,15,4972.727474895858
2,461,1,0,1,1,0,0,0,2014,12,31,1,4326.483403884141
2,866,1,1,0,1,0,0,0,2014,3,19,12,7998.572570991112
6,0,0,0,0,1,0,0,0,2015,2,15,7,0.0
0,1367,1,1,0,1,0,0,0,2014,6,2,23,12937.097390492067
1,642,1,1,0,1,0,0,0,2013,9,24,39,6657.971881213426
4,0,0,1,1,0,0,1,0,2013,3,29,13,0.0
5,1139,1,0,0,1,0,0,0,2013,8,3,31,9057.961506213507
5,0,0,0,0,1,0,0,0,2014,1,11,2,0.0
1,515,1,1,1,1,0,0,0,2013,3,26,13,5791.5191876606605
2,355,1,1,1,1,0,0,0,2013,6,19,25,4131.905966151247
0,1063,1,1,0,1,0,0,0,2015,3,30,14,12682.394989162225
6,0,0,0,0,1,0,0,0,2013,9,29,39,0.0
3,562,1,1,0,1,0,0,0,2015,3,5,10,6062.195749594812
6,0,0,0,0,1,0,0,0,2014,11,2,44,0.0
1,927,1,1,1,1,0,0,0,2013,8,27,35,8764.331012150778
5,894,1,0,0,1,0,0,0,2014,10,25,43,7581.325693393533
1,594,1,0,0,1,0,0,0,2015,3,10,11,5271.660226497803
1,533,1,1,0,1,0,0,0,2013,6,18,25,5972.966304470825
6,0,0,0,0,1,0,0,0,2015,4,5,14,0.0
1,709,1,1,0,1,0,0,0,2013,6,4,23,7329.0256725155205
0,484,1,1,0,1,0,0,0,2013,6,17,25,5876.420709076611
3,435,1,1,0,1,0,0,0,2014,11,27,48,4943.142486256388
1,1239,1,1,0,1,0,0,0,2015,6,2,23,11158.035778273172
5,373,1,0,0,1,0,0,0,2014,6,28,26,3455.9760124922805
3,642,1,0,0,1,0,0,0,2013,10,17,42,5454.860329319593
2,421,1,1,0,1,0,0,0,2013,5,15,20,4675.160556877641
4,394,1,0,0,1,0,0,0,2014,9,12,37,3881.0544075328216
4,761,1,1,0,1,0,0,0,2015,5,8,19,7649.449432629819
2,627,1,0,0,1,0,0,0,2013,6,26,26,5358.500073477922
1,731,1,1,0,1,0,0,0,2015,6,2,23,7870.770048971921
4,941,1,1,1,1,0,0,0,2014,7,18,29,8292.832301525228
3,1157,1,1,0,1,0,0,0,2014,10,2,40,10254.13210624087
0,720,1,1,0,1,0,0,0,2014,4,28,18,8079.261659231445
4,697,1,0,0,1,0,0,0,2014,1,17,3,6176.83886781183
5,534,1,0,0,1,0,0,0,2013,6,29,26,5503.327751205169
5,333,1,0,0,1,0,0,0,2014,5,31,22,3228.2146591117553
1,430,1,1,1,1,0,0,0,2013,8,13,33,5090.411179928666
3,607,1,0,0,1,0,0,0,2015,3,12,11,5327.143974644862
2,402,1,1,0,1,0,0,0,2014,1,22,4,4630.955052507641
2,532,1,0,0,1,0,0,0,2014,4,9,15,4784.791453094121
4,406,1,0,0,1,0,0,0,2013,3,15,11,3958.984970587745
1,828,1,0,0,1,0,0,0,2015,6,23,26,6893.634617192009
2,582,1,0,0,1,0,0,0,2014,8,27,35,5127.253836703953
3,852,1,1,1,1,0,0,0,2013,3,28,13,8062.684754828749
4,709,1,1,0,1,0,0,0,2013,4,12,15,6877.044908595176
1,1178,1,1,1,1,0,0,0,2014,7,29,31,10650.80725756235
1,634,1,0,0,1,0,0,0,2015,6,23,26,5779.375304946351
1,517,1,1,0,1,0,0,0,2014,11,4,45,5847.673302177067
5,905,1,0,0,1,0,0,0,2013,3,9,10,7705.922179159591
3,581,1,0,0,1,0,0,0,2014,7,10,28,5213.597264423406
3,657,1,1,0,0,1,0,0,2015,6,4,23,6657.1494133188635
1,485,1,1,0,1,0,0,0,2014,1,21,4,5638.967103210572
3,528,1,0,1,1,0,0,0,2015,4,9,15,4987.089903737489
3,410,1,0,0,1,0,0,0,2015,1,22,4,4093.665636355245
4,445,1,0,0,1,0,0,0,2015,4,24,17,4416.562359006124
5,367,1,0,0,1,0,0,0,2013,9,28,39,3429.051042558787
1,753,1,1,0,1,0,0,0,2013,9,24,39,7418.004570178002
0,494,1,0,0,1,0,0,0,2014,5,26,22,4564.1459023903
